Application mode,Course,Tuition fees up to date,Gender,Scholarship holder,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
17,171,1,1,0,0,0,0,0.0,0,0,0,0,0.0,Dropout
15,9254,0,1,0,6,6,6,14.0,0,6,6,6,13.666666666666666,Graduate
1,9070,0,1,0,6,0,0,0.0,0,6,0,0,0.0,Dropout
17,9773,1,0,0,6,8,6,13.428571428571429,0,6,10,5,12.4,Graduate
39,8014,1,0,0,6,9,5,12.333333333333334,0,6,6,6,13.0,Graduate
39,9991,1,1,0,5,10,5,11.857142857142858,0,5,17,5,11.5,Graduate
1,9500,1,0,1,7,9,7,13.3,0,8,8,8,14.345,Graduate
18,9254,0,1,0,5,5,0,0.0,0,5,5,0,0.0,Dropout
1,9238,1,0,1,6,8,6,13.875,0,6,7,6,14.142857142857142,Graduate
1,9238,0,0,0,6,9,5,11.4,0,6,14,2,13.5,Dropout
1,9670,1,0,0,6,6,6,12.333333333333334,0,6,7,5,14.2,Graduate
1,9500,1,0,1,8,8,7,13.214285714285714,0,8,8,7,13.214285714285714,Graduate
1,9853,1,0,0,6,6,0,0.0,0,6,0,0,0.0,Dropout
53,9254,1,0,1,6,7,6,10.571428571428571,0,6,8,5,11.0,Graduate
1,9085,1,0,1,5,7,4,13.25,0,5,5,5,12.0,Graduate
1,9773,1,0,0,6,6,5,13.2,0,6,7,0,0.0,Dropout
18,9238,1,0,0,6,10,1,12.0,0,6,14,2,11.0,Enrolled
17,9500,1,0,0,7,8,7,13.30625,0,8,8,8,14.545,Graduate
1,9130,1,0,0,5,8,4,12.5,0,5,8,4,12.25,Graduate
1,9853,1,0,0,7,7,6,11.666666666666666,0,7,8,6,13.5,Enrolled
1,171,1,0,1,0,0,0,0.0,0,0,0,0,0.0,Graduate
18,9556,1,0,0,7,14,7,11.4375,0,8,9,8,11.425,Enrolled
1,9500,1,0,0,8,12,7,12.857142857142858,0,8,12,7,12.857142857142858,Graduate
1,9670,1,0,1,6,8,6,13.375,0,6,7,6,12.285714285714286,Graduate
1,9500,1,0,0,7,8,6,13.296666666666669,0,8,9,7,14.114285714285714,Graduate
1,9238,1,0,1,6,8,5,11.6,0,6,12,4,11.0,Enrolled
17,9238,1,0,0,6,9,6,11.375,0,6,9,6,13.285714285714286,Graduate
1,9085,1,0,0,5,9,5,12.666666666666666,0,5,7,4,13.0,Enrolled
1,9147,1,0,0,5,6,5,12.0,0,5,6,5,12.333333333333334,Graduate
17,9500,1,1,0,7,9,6,12.933333333333332,0,7,7,6,13.716666666666669,Enrolled
44,9003,1,1,0,6,15,5,11.857142857142858,0,6,17,5,10.571428571428571,Enrolled
51,9070,1,1,0,6,7,6,12.833333333333334,0,6,9,4,13.4,Graduate
1,9147,0,1,0,5,9,3,11.333333333333334,0,5,8,2,13.5,Enrolled
18,8014,1,0,0,6,6,6,12.666666666666666,0,6,8,6,14.375,Graduate
1,9991,1,1,0,5,6,5,12.4,0,5,9,5,13.428571428571429,Graduate
39,33,0,1,0,7,7,0,0.0,0,7,7,1,10.0,Dropout
39,9119,1,1,0,5,0,0,0.0,0,5,0,0,0.0,Dropout
43,9147,1,0,0,5,10,1,10.0,0,5,8,2,12.0,Dropout
39,9991,1,0,0,5,8,5,11.0,0,5,5,5,11.6,Graduate
44,9130,0,0,0,6,13,3,11.666666666666666,1,6,11,3,12.0,Dropout
1,9773,1,0,0,6,6,4,12.75,0,5,5,0,0.0,Dropout
1,9147,1,0,0,5,5,5,14.8,0,5,5,5,15.8,Graduate
1,9500,1,0,0,7,9,5,13.928,0,8,9,7,14.342857142857142,Graduate
17,9773,0,0,0,6,7,4,13.0,0,6,7,5,13.8,Dropout
39,9991,1,0,0,5,0,0,0.0,0,5,0,0,0.0,Dropout
17,9991,1,0,0,5,9,2,11.5,0,5,11,3,14.333333333333334,Enrolled
17,9238,1,0,0,6,6,6,11.666666666666666,0,6,8,5,13.2,Graduate
17,9500,1,0,1,7,8,6,13.516666666666666,0,8,9,7,13.771428571428572,Graduate
44,8014,1,0,1,6,6,6,11.5,2,6,7,6,13.285714285714286,Graduate
1,9238,1,0,1,6,7,5,12.333333333333334,0,6,7,6,12.833333333333334,Graduate
39,9254,1,0,1,6,6,6,13.666666666666666,0,6,6,6,14.166666666666666,Graduate
1,9500,1,0,1,8,10,6,11.833333333333334,0,8,10,6,11.833333333333334,Enrolled
1,9773,1,0,1,6,11,4,14.0,0,6,12,3,11.0,Enrolled
1,9130,1,0,0,5,7,5,14.714285714285714,0,5,5,5,15.8,Graduate
39,9991,1,0,0,5,12,5,10.6,0,5,10,5,11.0,Dropout
1,9500,1,0,0,7,9,7,13.044444444444444,0,8,10,8,13.595,Graduate
7,9254,1,0,0,6,10,0,0.0,0,6,6,0,0.0,Dropout
39,9130,1,0,0,6,9,5,13.0,5,11,13,10,12.9,Dropout
17,9500,1,0,0,8,8,8,14.935,0,8,8,8,14.935,Graduate
1,171,1,0,0,0,0,0,0.0,0,0,0,0,0.0,Enrolled
1,9500,1,0,0,7,8,6,13.133333333333333,0,8,12,7,12.221428571428572,Graduate
44,9238,1,0,1,6,7,6,12.0,2,6,7,6,12.0,Graduate
17,171,1,1,1,0,0,0,0.0,0,0,0,0,0.0,Enrolled
17,9070,1,1,0,6,6,5,11.4,0,6,8,1,10.0,Enrolled
43,9070,1,1,0,6,6,0,0.0,0,6,6,0,0.0,Enrolled
42,9500,1,1,0,7,10,5,11.9,1,8,10,5,11.0,Dropout
1,171,1,1,1,0,0,0,0.0,0,0,0,0,0.0,Graduate
44,9003,1,1,0,6,8,6,12.571428571428571,0,6,7,6,12.428571428571429,Graduate
1,9147,1,1,0,5,8,5,11.2,0,5,10,4,10.75,Dropout
39,9254,1,1,0,6,7,6,12.0,0,6,8,5,10.8,Enrolled
17,9147,1,1,0,5,9,0,0.0,0,5,5,0,0.0,Enrolled
17,9500,1,1,0,7,8,7,11.975,0,8,8,8,13.75,Graduate
1,171,1,1,0,0,0,0,0.0,0,0,0,0,0.0,Dropout
